Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
V-360B,150812976,KA01FA2365,V-360B/5-All Days,9967552167
V-500CA,150221408,KA01F9531,V-500CA/16-Holiday,9967511884
K-4,150221406,KA57F0649,K-4/5-All Days,8828031278
V-360B,150812230,KA01F9028,V-360B/14-All Days,9987855401
V-500KE,150218216,KA01FA2328,V-500KE/7-All Days,8828028657
V-360B,150221261,KA01FA2381,V-360B/29-All Days,8828031081
V-201R,150220857,KA01F9071,V-201R/13-Holiday,8828028671
V-500A,150221540,KA57F0043,V-500A/7-Week Days,8828028638
V-500CA,150814335,KA01F9120,V-500CA/10-Holiday,9987807266
V-500K,150220217,KA01F9027,V-500K/36-Week Days,8828028687
V-500D,150220737,KA01FA2379,V-500D/43-All Days,8828030993
V-500W,150219408,KA01F4322,V-500W/1-Week Days,8828031027
215D,150222969,KA01FA0542,215D/1-All Days,9987792743
25B,150218350,KA01F4926,25B/3-All Days,9987894365
G-2,150221911,KA01FA2275,G-2/4-All Days,9987864571
361C,150220414,KA01FA0534,361C/8-All Days,9987812657
KBS-3A,150218616,KA57F1177,KBS-3A/4-All Days,9987864738
370D,150218228,KA01F8732,370D/1-All Days,9967503313
96,150813617,KA01F3773,96/8-All Days,9967541586
401MC,150810852,KA01F3228,401MC/6-All Days,9967548591
176,150221603,KA57F0948,176/12-All Days,8828028628
501A,150220760,KA57F0628,501A/9-All Days,9967508793
37B,150218090,KA01F3459,37B/1-All Days,9967516730
238L,150222581,KA01F3628,238L/1-All Days,9987785373
56,150814171,KA01FA2245,56/2-All Days,9987796524
401K,150811207,KA01F9400,401K/29-All Days,9967462916
V-250ZA,150221150,KA01FA1573,V-250ZA/4-Week Days,9987862873
SBS-13K,150218101,KA01F4924,SBS-13K/7-All Days,9987899339
500D,150218790,KA01F2863,500D/21-All Days,9987889677
271T,150222146,KA01F3753,271T/1-All Days,9987781420
77B,150810875,KA01F3852,77B/4-All Days,9967515493
333L,150218247,KA01FA1695,333L/2-Holiday,9967503732
238AB,150811396,KA01F4686,238AB/1-All Days,9967481561
96G,150810640,KA01F3719,96G/20-All Days,9967492811
JPV-9,150219793,KA57F0378,JPV-9/1-Week Days,9987877932
171G,150221130,KA01F8803,171G/3-All Days,9987839373
KBS-5H,150218040,KA57F1350,KBS-5H/2-All Days,9987864266
143A,150813503,KA01F3263,143A/2-All Days,9967494216
NDH:MF-1,150222186,KA01F8965,NDH:MF-1/1-All Days,9987792245
